COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100097798	1000053	FACTURA_NO_ENCONTRADA
RB	100097801	1000054	FACTURA_NO_ENCONTRADA
RB	100097801	1000054	FACTURA_NO_ENCONTRADA
RB	100097805	1000054	FACTURA_NO_ENCONTRADA
RB	100097807	1000054	FACTURA_NO_ENCONTRADA
RB	100097810	1000054	FACTURA_NO_ENCONTRADA
RB	100097812	1000054	FACTURA_NO_ENCONTRADA
RB	100097815	1000055	FACTURA_NO_ENCONTRADA
RB	100097816	1000055	FACTURA_NO_ENCONTRADA
RB	100097816	1000055	FACTURA_NO_ENCONTRADA
RB	100097820	1000055	FACTURA_NO_ENCONTRADA
RB	100097820	1000055	FACTURA_NO_ENCONTRADA
RB	100097820	1000055	FACTURA_NO_ENCONTRADA
RB	100097825	1000056	FACTURA_NO_ENCONTRADA
RB	100097830	1000056	FACTURA_NO_ENCONTRADA
RB	100097831	1000056	FACTURA_NO_ENCONTRADA
RB	100097831	1000056	FACTURA_NO_ENCONTRADA
RB	100097835	1000057	FACTURA_NO_ENCONTRADA
RB	100097835	1000057	FACTURA_NO_ENCONTRADA
RB	100097836	1000057	FACTURA_NO_ENCONTRADA
RB	100097836	1000057	FACTURA_NO_ENCONTRADA
RB	100097836	1000057	FACTURA_NO_ENCONTRADA
RB	100097837	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097839	1000057	FACTURA_NO_ENCONTRADA
RB	100097844	1000058	FACTURA_NO_ENCONTRADA
RB	100097846	1000058	FACTURA_NO_ENCONTRADA
RB	100097856	1000058	FACTURA_NO_ENCONTRADA
RB	100097862	1000059	FACTURA_NO_ENCONTRADA
RB	100097873	1000060	FACTURA_NO_ENCONTRADA
